Year,1,3,8 NW,8 SW,8 NE,8 SE,9,10,Hr  ,Min
1956,5,4,0,0,0,0,0,0,191,
1957,4,9,1,1,2,2,0,1,295,
1958,4,5,0,0,1,0,0,0,214,
1959,1,1,0,0,0,0,0,0,36,
1960,11,7,0,2,2,2,1,1,432,
1961,6,7,1,2,1,0,1,1,192,
1962,4,3,0,1,1,0,1,1,158,
1963,4,5,0,0,1,0,0,0,175,50
1964,11,14,1,3,5,3,3,2,570,15
1965,7,6,0,0,1,1,0,0,239,40
1966,6,5,0,0,2,2,0,0,284,40
1967,8,6,0,0,2,1,0,0,339,10
1968,7,7,0,1,1,0,1,1,290,10
1969,4,2,0,0,0,0,0,0,110,15
1970,6,8,2,1,2,0,0,0,286,45
1971,9,10,1,3,2,2,1,1,323,25
1972,8,6,0,0,1,1,0,0,288,20
1973,8,6,1,1,1,0,1,0,416,50
1974,12,10,0,0,2,1,1,0,525,20
1975,8,6,1,0,0,1,1,1,292,20
1976,6,6,0,0,1,2,0,0,351,30
1977,8,6,0,0,1,0,0,0,395,10
1978,8,9,1,1,3,2,0,0,462,10
1979,5,5,1,0,2,2,1,1,281,15
1980,10,8,0,0,1,1,0,0,414,5
1981,5,4,0,0,1,1,0,0,202,20
1982,7,4,0,0,0,0,0,0,247,35
1983,8,7,0,1,2,2,1,1,289,42
1984,6,6,0,0,1,0,0,0,280,2
1985,5,4,1,0,0,1,0,0,193,35
1986,6,7,0,1,1,0,0,0,305,0
1987,6,1,0,0,0,0,0,0,165,45
1988,6,4,0,0,0,0,0,0,204,10
1989,7,8,0,0,2,2,0,0,306,10
1990,6,4,0,0,0,0,0,0,245,10
1991,8,6,0,0,1,1,0,0,349,55
1992,5,5,0,0,1,1,0,0,167,5
1993,8,9,0,0,2,4,0,0,325,40
1994,4,3,0,0,0,0,0,0,138,10
1995,8,6,2,2,1,1,0,0,348,50
1996,7,2,0,0,0,1,0,0,189,0
1997,2,3,0,1,1,0,1,0,97,30
1998,5,2,0,0,0,0,0,0,188,35
1999,10,13,4,3,2,0,2,1,520,0
2000,7,3,0,0,0,0,0,0,329,5
2001,6,6,1,1,2,1,0,0,253,35
2002,3,2,0,0,0,1,0,0,144,25
2003,4,5,1,1,1,1,1,0,158,0
2004,3,2,1,1,1,0,0,0,77,35
2005,3,1,0,0,0,0,0,0,142,45
2006,10,3,0,0,0,0,0,0,317,50
2007,4,3,0,1,0,0,0,0,86,50
2008,8,9,2,2,3,2,1,0,347,0
2009,13,9,1,1,1,2,1,0,255,30
2010,8,3,0,0,0,0,0,0,220,0
2011,8,5,0,0,0,1,0,0,213,0
2012,9,7,0,0,2,3,1,1,252,45
2013,10,7,1,1,0,1,0,0,292,50
2014,6,3,0,0,0,1,0,0,145,45
2015,4,3,1,0,0,0,0,0,136,50
2016,11,7,2,2,0,0,0,0,283,0
2017,12,11,2,1,3,2,1,1,259,40
2018,12,7,0,0,1,1,1,1,422,25
2019,7,3,0,0,1,0,0,0,177,25
Total,437,358,29,35,65,53,22,15,16849,9
Mean,6.8,5.6,0.5,0.5,1,0.8,0.3,0.2,263,16