Year,Annual mean,Lowess(5)
1990,0.45,0.33
1991,0.41,0.33
1992,0.22,0.33
1993,0.23,0.33
1994,0.32,0.34
1995,0.45,0.37
1996,0.33,0.4
1997,0.46,0.43
1998,0.61,0.45
1999,0.39,0.48
2000,0.4,0.5
2001,0.54,0.53
2002,0.63,0.55
2003,0.62,0.59
2004,0.54,0.61
2005,0.68,0.62
2006,0.64,0.63
2007,0.67,0.64
2008,0.55,0.65
2009,0.66,0.65
2010,0.73,0.65
2011,0.61,0.67
2012,0.65,0.7
2013,0.68,0.74
2014,0.75,0.79
2015,0.9,0.83
2016,1.02,0.87
2017,0.93,0.91
2018,0.85,0.95
2019,0.99,0.99